player_id,player_name,role_name,role_name_consistency_at5,topk_neighbors,topk_neighbor_categories
36,T. Alderweireld,Defender,1.0,"J. Stephens, M. Jørgensen, J. Matip, L. Koscielny, D. Sánchez","Defender, Defender, Defender, Defender, Defender"
48,J. Vertonghen,Defender,1.0,"W. Hoedt, H. Maguire, R. Klavan, A. Rüdiger, A. Mawson","Defender, Defender, Defender, Defender, Defender"
54,C. Eriksen,Midfielder,0.8,"M. Özil, K. De Bruyne, H. Mkhitaryan, Fàbregas, E. Hazard","Midfielder, Midfielder, Midfielder, Midfielder, Forward"
74,R. Klavan,Defender,1.0,"P. Jones, A. Mawson, H. Maguire, J. Vertonghen, W. Hoedt","Defender, Defender, Defender, Defender, Defender"
93,J. Guðmundsson,Midfielder,1.0,"M. Ritchie, A. Townsend, A. Knockaert, M. Phillips, A. Carrillo","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
107,E. Pieters,Defender,1.0,"C. Daniels, K. Gibbs, S. Ward, B. Davies, G. Bong","Defender, Defender, Defender, Defender, Defender"
116,G. Wijnaldum,Midfielder,1.0,"P. Pogba, M. Dembélé, J. Cork, N. Kanté, M. Lemina","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
132,T. Kongolo,Defender,1.0,"P. Dummett, E. Pieters, A. Cresswell, K. Gibbs, Nacho Monreal","Defender, Defender, Defender, Defender, Defender"
134,B. Martins Indi,Defender,1.0,"A. Ogbonna, C. Kabasele, B. Mee, C. Schindler, N. Aké","Defender, Defender, Defender, Defender, Defender"
160,D. Janmaat,Defender,1.0,"K. Naughton, P. Zabaleta, T. Smith, J. Ward, D. Yedlin","Defender, Defender, Defender, Defender, Defender"
173,R. van La Parra,Midfielder,0.4,"N. Redmond, J. McClean, A. Masuaku, Marcos Alonso, Richarlison","Midfielder, Midfielder, Defender, Defender, Forward"
262,L. Fer,Midfielder,1.0,"J. Livermore, C. Kouyaté, W. Ndidi, I. Gueye, Ander Herrera","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
284,M. van der Hoorn,Defender,1.0,"C. Dawson, M. Jørgensen, J. Stephens, A. Mariappa, S. Francis","Defender, Defender, Defender, Defender, Defender"
340,Cuco Martina,Defender,1.0,"Javi Manquillo, A. Young, P. van Aanholt, G. Bong, M. Suttner","Defender, Defender, Defender, Defender, Defender"
370,V. van Dijk,Defender,1.0,"N. Otamendi, F. Lejeune, S. Dann, H. Maguire, A. Ogbonna","Defender, Defender, Defender, Defender, Defender"
383,D. Tadić,Midfielder,0.8,"H. Mkhitaryan, A. Oxlade-Chamberlain, J. Ayew, P. Groß, K. De Bruyne","Midfielder, Midfielder, Forward, Midfielder, Midfielder"
454,P. van Aanholt,Defender,1.0,"A. Young, C. Daniels, K. Gibbs, G. Bong, S. Ward","Defender, Defender, Defender, Defender, Defender"
466,D. Pröpper,Midfielder,0.8,"N. Matić, T. Bakayoko, N. Otamendi, J. Cork, D. Gosling","Midfielder, Midfielder, Defender, Midfielder, Midfielder"
703,M. Yoshida,Defender,1.0,"S. Mustafi, J. Tarkowski, J. Tomkins, W. Reid, C. Smalling","Defender, Defender, Defender, Defender, Defender"
3278,Bruno Saltor,Defender,1.0,"D. Simpson, D. Yedlin, T. Smith, K. Naughton, J. Ward","Defender, Defender, Defender, Defender, Defender"
3319,M. Özil,Midfielder,0.6,"C. Eriksen, K. De Bruyne, E. Hazard, David Silva, S. Rondón","Midfielder, Midfielder, Forward, Midfielder, Forward"
3324,Álvaro Morata,Forward,1.0,"H. Kane, T. Deeney, C. Benteke, D. Gayle, Gabriel Jesus","Forward, Forward, Forward, Forward, Forward"
3327,Joselu,Forward,0.8,"S. Rondón, J. Ayew, Roberto Firmino, S. Mounié, A. Iwobi","Forward, Forward, Forward, Forward, Midfielder"
3350,Fàbregas,Midfielder,1.0,"Y. Cabaye, C. Eriksen, T. Cleverley, K. De Bruyne, J. Shelvey","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
3351,Kiko Femenía,Defender,1.0,"K. Trippier, S. Aurier, Bellerín, D. Yedlin, A. Valencia","Defender, Defender, Defender, Defender, Defender"
