player_id,player_name,specific_position,specific_position_consistency_at5,topk_neighbors,topk_neighbor_categories
36,T. Alderweireld,CB,1.0,"J. Stephens, M. Jørgensen, J. Matip, L. Koscielny, D. Sánchez","CB, CB, CB, CB, CB"
48,J. Vertonghen,CB,1.0,"W. Hoedt, H. Maguire, R. Klavan, A. Rüdiger, A. Mawson","CB, CB, CB, CB, CB"
54,C. Eriksen,CAM,0.6,"M. Özil, K. De Bruyne, H. Mkhitaryan, Fàbregas, E. Hazard","CAM, CAM, CAM, CM, LW"
74,R. Klavan,CB,1.0,"P. Jones, A. Mawson, H. Maguire, J. Vertonghen, W. Hoedt","CB, CB, CB, CB, CB"
93,J. Guðmundsson,RW,1.0,"M. Ritchie, A. Townsend, A. Knockaert, M. Phillips, A. Carrillo","RW, RW, RW, RW, RW"
107,E. Pieters,LB,1.0,"C. Daniels, K. Gibbs, S. Ward, B. Davies, G. Bong","LB, LB, LB, LB, LB"
116,G. Wijnaldum,CM,0.8,"P. Pogba, M. Dembélé, J. Cork, N. Kanté, M. Lemina","CM, CM, CM, CDM, CM"
132,T. Kongolo,LB,0.6,"P. Dummett, E. Pieters, A. Cresswell, K. Gibbs, Nacho Monreal","LB, LB, CB, LB, CB"
134,B. Martins Indi,CB,1.0,"A. Ogbonna, C. Kabasele, B. Mee, C. Schindler, N. Aké","CB, CB, CB, CB, CB"
160,D. Janmaat,RB,0.8,"K. Naughton, P. Zabaleta, T. Smith, J. Ward, D. Yedlin","RB, RB, CM, RB, RB"
173,R. van La Parra,LW,0.6,"N. Redmond, J. McClean, A. Masuaku, Marcos Alonso, Richarlison","LW, LW, LB, LB, LW"
262,L. Fer,CM,0.4,"J. Livermore, C. Kouyaté, W. Ndidi, I. Gueye, Ander Herrera","CM, CDM, CDM, CDM, CM"
284,M. van der Hoorn,CB,0.8,"C. Dawson, M. Jørgensen, J. Stephens, A. Mariappa, S. Francis","RB, CB, CB, CB, CB"
340,Cuco Martina,LB,1.0,"Javi Manquillo, A. Young, P. van Aanholt, G. Bong, M. Suttner","LB, LB, LB, LB, LB"
370,V. van Dijk,CB,1.0,"N. Otamendi, F. Lejeune, S. Dann, H. Maguire, A. Ogbonna","CB, CB, CB, CB, CB"
383,D. Tadić,CAM,0.6,"H. Mkhitaryan, A. Oxlade-Chamberlain, J. Ayew, P. Groß, K. De Bruyne","CAM, RW, ST, CAM, CAM"
454,P. van Aanholt,LB,1.0,"A. Young, C. Daniels, K. Gibbs, G. Bong, S. Ward","LB, LB, LB, LB, LB"
466,D. Pröpper,CM,0.4,"N. Matić, T. Bakayoko, N. Otamendi, J. Cork, D. Gosling","CDM, CDM, CB, CM, CM"
703,M. Yoshida,CB,1.0,"S. Mustafi, J. Tarkowski, J. Tomkins, W. Reid, C. Smalling","CB, CB, CB, CB, CB"
3278,Bruno Saltor,RB,0.8,"D. Simpson, D. Yedlin, T. Smith, K. Naughton, J. Ward","RB, RB, CM, RB, RB"
3319,M. Özil,CAM,0.6,"C. Eriksen, K. De Bruyne, E. Hazard, David Silva, S. Rondón","CAM, CAM, LW, CAM, ST"
3324,Álvaro Morata,ST,1.0,"H. Kane, T. Deeney, C. Benteke, D. Gayle, Gabriel Jesus","ST, ST, ST, ST, ST"
3327,Joselu,ST,0.8,"S. Rondón, J. Ayew, Roberto Firmino, S. Mounié, A. Iwobi","ST, ST, ST, ST, LW"
3350,Fàbregas,CM,0.6,"Y. Cabaye, C. Eriksen, T. Cleverley, K. De Bruyne, J. Shelvey","CM, CAM, CM, CAM, CM"
3351,Kiko Femenía,RB,1.0,"K. Trippier, S. Aurier, Bellerín, D. Yedlin, A. Valencia","RB, RB, RB, RB, RB"
3360,Pedro,RW,0.0,"E. Hazard, D. Alli, David Silva, S. Rondón, M. Özil","LW, CAM, CAM, ST, CAM"
3361,A. Sánchez,LW,0.6,"S. Mané, D. Alli, E. Hazard, Philippe Coutinho, David Silva","LW, CAM, LW, LW, CAM"
3413,Ander Herrera,CM,0.2,"J. Livermore, W. Ndidi, C. Kouyaté, E. Dier, I. Gueye","CM, CDM, CDM, CB, CDM"
3436,Javi Manquillo,LB,0.6,"Cuco Martina, A. Young, P. van Aanholt, Danilo, M. Albrighton","LB, LB, LB, RB, LW"
3523,F. Lejeune,CB,1.0,"C. Kabasele, C. Schindler, Ahmed Hegazy, J. Evans, N. Aké","CB, CB, CB, CB, CB"
3560,Nacho Monreal,CB,0.8,"J. Vertonghen, T. Kongolo, W. Hoedt, A. Cresswell, K. Wimmer","CB, LB, CB, CB, CB"
