player_id,player_name,specific_position,specific_position_consistency_at5,topk_neighbors,topk_neighbor_categories
36,T. Alderweireld,CB,1.0,"L. Koscielny, J. Matip, D. Sánchez, V. Kompany, J. Stones","CB, CB, CB, CB, CB"
48,J. Vertonghen,CB,1.0,"W. Hoedt, A. Rüdiger, G. Cahill, Nacho Monreal, A. Mawson","CB, CB, CB, CB, CB"
54,C. Eriksen,CAM,0.8,"K. De Bruyne, M. Özil, H. Mkhitaryan, E. Hazard, J. Lingard","CAM, CAM, CAM, LW, CAM"
74,R. Klavan,CB,1.0,"P. Jones, A. Mawson, G. Cahill, J. Vertonghen, N. Aké","CB, CB, CB, CB, CB"
93,J. Guðmundsson,RW,0.8,"M. Ritchie, E. Kachunga, M. Antonio, A. Carrillo, A. Townsend","RW, RW, ST, RW, RW"
107,E. Pieters,LB,0.8,"K. Gibbs, P. van Aanholt, A. Cresswell, G. Bong, M. Suttner","LB, LB, CB, LB, LB"
116,G. Wijnaldum,CM,0.6,"W. Rooney, P. Pogba, N. Kanté, E. Can, A. Ramsey","ST, CM, CDM, CM, CM"
132,T. Kongolo,LB,0.6,"P. Dummett, A. Cresswell, E. Pieters, K. Wimmer, G. Bong","LB, CB, LB, CB, LB"
134,B. Martins Indi,CB,1.0,"A. Ogbonna, C. Clark, F. Lejeune, C. Schindler, C. Kabasele","CB, CB, CB, CB, CB"
160,D. Janmaat,RB,0.8,"D. Yedlin, Cédric Soares, E. Schelotto, T. Smith, J. Kenny","RB, RB, RB, CM, RB"
173,R. van La Parra,LW,1.0,"N. Redmond, M. Pugh, R. Brady, Kenedy, M. Albrighton","LW, LW, LW, LW, LW"
262,L. Fer,CM,0.6,"J. Livermore, Ander Herrera, E. Dier, Fàbregas, J. Henderson","CM, CM, CB, CM, CDM"
284,M. van der Hoorn,CB,1.0,"A. Mariappa, M. Jørgensen, D. Rice, Azpilicueta, M. Holgate","CB, CB, CB, CB, CB"
340,Cuco Martina,LB,1.0,"Javi Manquillo, G. Bong, C. Taylor, M. Suttner, P. Dummett","LB, LB, LB, LB, LB"
370,V. van Dijk,CB,1.0,"N. Otamendi, P. Jones, D. Lovren, R. Klavan, A. Mawson","CB, CB, CB, CB, CB"
383,D. Tadić,CAM,0.2,"M. Arnautović, P. Groß, J. King, A. Townsend, J. Ibe","ST, CAM, ST, RW, RW"
454,P. van Aanholt,LB,1.0,"K. Gibbs, E. Pieters, J. Holebas, C. Daniels, M. Suttner","LB, LB, LB, LB, LB"
466,D. Pröpper,CM,0.4,"N. Matić, T. Bakayoko, H. Maguire, M. Lemina, B. N'Diaye","CDM, CDM, CB, CM, CM"
