player_id,player_name,role_name,role_name_consistency_at5,topk_neighbors,topk_neighbor_categories
36,T. Alderweireld,Defender,1.0,"M. Musacchio, M. Ginter, A. Mandi, L. Koscielny, Wallace","Defender, Defender, Defender, Defender, Defender"
48,J. Vertonghen,Defender,1.0,"N. Moisander, S. Umtiti, A. Laporte, P. Kimpembe, Sergio Ramos","Defender, Defender, Defender, Defender, Defender"
54,C. Eriksen,Midfielder,0.6,"L. Stindl, K. De Bruyne, R. Nainggolan, Y. Benzia, V. Birsa","Forward, Midfielder, Midfielder, Forward, Midfielder"
74,R. Klavan,Defender,1.0,"P. Kimpembe, Ö. Toprak, K. Koulibaly, Fontàs, Jordi Amat","Defender, Defender, Defender, Defender, Defender"
77,N. Moisander,Defender,1.0,"J. Vertonghen, J. Morel, Bigas, Z. Feddal, P. Djilobodji","Defender, Defender, Defender, Defender, Defender"
93,J. Guðmundsson,Midfielder,0.4,"M. Ritchie, A. Hahn, M. Antonio, E. Kachunga, B. Bourigeaud","Midfielder, Forward, Forward, Forward, Midfielder"
102,Marcelo,Defender,1.0,"A. Rami, K. Glik, David López, Luis Hernández, J. Bruma","Defender, Defender, Defender, Defender, Defender"
107,E. Pieters,Defender,1.0,"Rubén Duarte, Danilo Avelar, B. Martella, Dani Castellano, F. Mattiello","Defender, Defender, Defender, Defender, Defender"
110,J. Willems,Defender,0.8,"J. Roussillon, V. Bessat, R. Bertrand, D. Rose, P. Max","Defender, Midfielder, Defender, Defender, Defender"
114,K. Strootman,Midfielder,1.0,"J. Draxler, T. Carroll, P. Lasne, Thiago Alcântara, M. Brozović","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
116,G. Wijnaldum,Midfielder,1.0,"P. Pogba, S. Kagawa, A. Guardado, Thiago Alcântara, N. Keïta","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
118,M. Depay,Forward,0.6,"A. Gómez, A. Rebić, H. Çalhanoğlu, A. Martial, T. Inui","Forward, Forward, Midfielder, Forward, Midfielder"
122,D. Mertens,Forward,1.0,"T. Deeney, Álvaro Morata, H. Kane, E. Džeko, E. Berggreen","Forward, Forward, Forward, Forward, Forward"
123,O. Toivonen,Forward,1.0,"V. Ibišević, P. Iemmello, L. Traoré, G. Pazzini, A. Sanabria","Forward, Forward, Forward, Forward, Forward"
130,S. de Vrij,Defender,1.0,"K. Vogt, Hilton, L. Ceppitelli, David Luiz, L. Sané","Defender, Defender, Defender, Defender, Defender"
132,T. Kongolo,Defender,1.0,"Fernando Navarro, P. Dummett, B. Dibassy, S. Souprayen, Danilo Avelar","Defender, Defender, Defender, Defender, Defender"
134,B. Martins Indi,Defender,1.0,"Bruno, G. Maripán, J. Vuković, A. Ogbonna, Ahmed Hegazy","Defender, Defender, Defender, Defender, Defender"
151,J. Guidetti,Forward,1.0,"D. Selke, F. Di Santo, Guerrero, E. Ünal, S. Jovetić","Forward, Forward, Forward, Forward, Forward"
159,J. Gouweleeuw,Defender,1.0,"C. Kerbrat, J. Giraudon, C. Yamberé, K. Théophile Catherine, Diego Llorente","Defender, Defender, Defender, Defender, Defender"
160,D. Janmaat,Defender,1.0,"T. Gebre Selassie, J. Korb, L. Dubois, F. Guilbert, J. Martins-Pereira","Defender, Defender, Defender, Defender, Defender"
173,R. van La Parra,Midfielder,0.6,"Álex Berenguer, Chory Castro, N. Redmond, Ivi, A. Szymanowski","Forward, Midfielder, Midfielder, Forward, Midfielder"
174,F. Đuričić,Midfielder,1.0,"J. Obi, N. Amiri, J. Pastore, J. Draxler, T. Carroll","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
179,L. Narsingh,Midfielder,0.4,"Iván Alejo, C. Quaner, M. Cornet, C. Kouakou, M. Phillips","Midfielder, Forward, Forward, Forward, Midfielder"
192,J. Vuković,Defender,1.0,"N. Pallois, C. Kabasele, G. Maripán, C. Clark, F. Acerbi","Defender, Defender, Defender, Defender, Defender"
254,R. Rosales,Defender,1.0,"K. Naughton, Mario, Hugo Mallo, L. De Silvestri, P. Verhaegh","Defender, Defender, Defender, Defender, Defender"
262,L. Fer,Midfielder,1.0,"J. Livermore, S. McTominay, Y. Tielemans, Y. Bissouma, A. Acquah","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
284,M. van der Hoorn,Defender,1.0,"P. Lienhart, V. Selimovic, F. Romagna, B. Salamon, F. Sørensen","Defender, Defender, Defender, Defender, Defender"
340,Cuco Martina,Defender,0.8,"Javi Manquillo, P. Dummett, B. Martella, F. Tabanou, C. Traoré","Defender, Defender, Defender, Midfielder, Defender"
370,V. van Dijk,Defender,1.0,"N. Otamendi, Ö. Toprak, M. Hummels, J. Vestergaard, João Miranda","Defender, Defender, Defender, Defender, Defender"
382,Suk Hyun-Jun,Forward,1.0,"I. Saadi, S. Long, Sergio León, G. Sio, P. Crouch","Forward, Forward, Forward, Forward, Forward"
383,D. Tadić,Midfielder,0.4,"F. Chiesa, M. Reus, D. Berardi, Felipe Anderson, Lucas Pérez","Midfielder, Forward, Forward, Midfielder, Forward"
394,B. Nuytinck,Defender,1.0,"N. Subotić, Raúl Navas, P. Baysse, V. Jovanović, M. Mavraj","Defender, Defender, Defender, Defender, Defender"
454,P. van Aanholt,Defender,1.0,"K. Gibbs, Douglas Santos, C. Biraghi, M. Gobbi, O. Wendt","Defender, Defender, Defender, Defender, Defender"
466,D. Pröpper,Midfielder,1.0,"A. Bertolacci, R. Walter, G. Mandjeck, T. Bakayoko, R. Mandragora","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
471,W. Bony,Forward,0.8,"E. Lamela, M. Batshuayi, J. Arp, C. Beauvue, L. Traoré","Midfielder, Forward, Forward, Forward, Forward"
625,M. de Roon,Midfielder,1.0,"P. Oniangué, L. Modrić, S. Khedira, P. Schiattarella, Y. Tielemans","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
703,M. Yoshida,Defender,1.0,"S. Mustafi, C. Smalling, J. Tarkowski, L. Rossettini, O. Vizcarrondo","Defender, Defender, Defender, Defender, Defender"
1712,K. Tete,Defender,1.0,"A. Valencia, Rafael, D. Calabria, A. Touré, I. Abate","Defender, Defender, Defender, Defender, Defender"
1751,O. Tannane,Forward,0.4,"A. Cerci, A. Halilović, R. Ghezzal, L. Öztunali, T. Walcott","Forward, Midfielder, Midfielder, Midfielder, Forward"
3269,Jordi Alba,Defender,1.0,"B. Oczipka, T. Hernández, R. Gosens, R. Bertrand, L. Kurzawa","Defender, Defender, Defender, Defender, Defender"
3270,Barragán,Defender,1.0,"A. Valencia, A. Touré, K. Tete, D. Calabria, I. Abate","Defender, Defender, Defender, Defender, Defender"
3276,A. Rami,Defender,1.0,"Marcelo, I. Konaté, David López, K. Glik, J. Bruma","Defender, Defender, Defender, Defender, Defender"
3277,Víctor Ruíz,Defender,1.0,"Jemerson, Mario Hermoso, R. Thomas, J. Morel, P. Djilobodji","Defender, Defender, Defender, Defender, Defender"
3278,Bruno Saltor,Defender,1.0,"Javi López, Martín, D. Opare, A. Souquet, M. Deplagne","Defender, Defender, Defender, Defender, Defender"
3280,É. Banega,Midfielder,1.0,"N. Keïta, Álex Granell, C. Aránguiz, P. Højbjerg, J. Féret","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
3281,Juan Bernat,Defender,0.2,"Alex Sandro, F. Ribéry, M. Mandžukić, L. Insigne, Ramadan Sobhi","Defender, Midfielder, Forward, Forward, Midfielder"
3282,Canales,Midfielder,1.0,"Dani Raba, Y. Salibur, R. Mahrez, X. Shaqiri, Juan Mata","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
3286,Dani Parejo,Midfielder,1.0,"L. Torreira, M. Badelj, F. Viviani, M. Pjanić, Oriol Romeu","Midfielder, Midfielder, Midfielder, Midfielder, Midfielder"
3287,Portu,Midfielder,0.2,"A. Ciciretti, C. Ünder, N. El Zhar, A. Yarmolenko, Suso","Forward, Forward, Midfielder, Forward, Forward"
3290,Aduriz,Forward,1.0,"A. Barnes, J. Córdoba, D. Selke, G. Laborde, E. Ünal","Forward, Forward, Forward, Forward, Forward"
3291,Paco Alcácer,Forward,0.6,"E. Thommy, R. Pereyra, S. Zoller, K. Karaman, F. Andone","Midfielder, Midfielder, Forward, Forward, Forward"
3293,P. Piatti,Forward,0.4,"Ivi, L. Bittencourt, N. Redmond, Y. Bolasie, Álex Berenguer","Forward, Midfielder, Midfielder, Midfielder, Forward"
3300,Albiol,Defender,1.0,"J. Stones, V. Kompany, J. Matip, D. Rugani, J. Boateng","Defender, Defender, Defender, Defender, Defender"
3304,Nacho,Defender,1.0,"V. Jovanović, Thiago Silva, P. Jones, F. Fazio, Raúl Navas","Defender, Defender, Defender, Defender, Defender"
3306,Sergio Ramos,Defender,1.0,"D. Astori, A. Romagnoli, G. Chiellini, N. Moisander, P. Kimpembe","Defender, Defender, Defender, Defender, Defender"
3308,Pedro Mendes,Defender,1.0,"P. Jagielka, S. De Maio, D. Da Silva, S. Kjær, M. Bani","Defender, Defender, Defender, Defender, Defender"
3309,R. Varane,Defender,1.0,"Unai Núñez, David López, N. N'Koulou, N. Stark, J. Tah","Defender, Defender, Defender, Defender, Defender"
3310,Marcelo,Defender,0.6,"S. Kolašinac, D. Laxalt, J. Roussillon, J. Mojica, L. Spinazzola","Defender, Midfielder, Defender, Defender, Midfielder"
