dataset_name,player_id,match_id,team_id,player_name,player_name_raw,role_name,specific_position,position_status,team_name,n_touches,minute_min,minute_max,match_date
5liga,36,2499725,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,117,3.0,92.0,
5liga,36,2499737,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,90,1.0,89.0,
5liga,36,2499746,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,103,0.0,94.0,
5liga,36,2499752,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,71,0.0,89.0,
5liga,36,2499766,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,111,1.0,92.0,
5liga,36,2499778,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,62,0.0,94.0,
5liga,36,2499783,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,105,0.0,92.0,
5liga,36,2499797,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,101,0.0,86.0,
5liga,36,2499807,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,47,7.0,91.0,
5liga,36,2499816,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,62,0.0,91.0,
5liga,36,2500061,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,94,0.0,88.0,
5liga,36,2500088,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,85,1.0,86.0,
