dataset_name,player_id,match_id,team_id,player_name,player_name_raw,role_name,specific_position,position_status,team_name,n_touches,minute_min,minute_max,match_date,raw_grid_0,raw_grid_1,raw_grid_2,raw_grid_3,raw_grid_4,raw_grid_5,raw_grid_6,raw_grid_7,raw_grid_8,raw_grid_9,raw_grid_10,raw_grid_11,raw_grid_12,raw_grid_13,raw_grid_14,raw_grid_15,raw_grid_16,raw_grid_17,raw_grid_18,raw_grid_19,raw_grid_20,raw_grid_21,raw_grid_22,raw_grid_23,raw_grid_24,raw_grid_25,raw_grid_26,raw_grid_27,raw_grid_28,raw_grid_29,raw_grid_30,raw_grid_31,raw_grid_32,raw_grid_33,raw_grid_34,raw_grid_35,raw_grid_36,raw_grid_37,raw_grid_38,raw_grid_39,raw_grid_40,raw_grid_41,raw_grid_42,raw_grid_43,raw_grid_44,raw_grid_45,raw_grid_46,raw_grid_47,raw_grid_48,raw_grid_49,raw_grid_50,raw_grid_51,raw_grid_52,raw_grid_53,raw_grid_54,raw_grid_55,raw_grid_56,raw_grid_57,raw_grid_58,raw_grid_59,raw_grid_60,raw_grid_61,raw_grid_62,raw_grid_63,raw_grid_64,raw_grid_65,raw_grid_66,raw_grid_67,raw_grid_68,raw_grid_69,raw_grid_70,raw_grid_71,raw_grid_72,raw_grid_73,raw_grid_74,raw_grid_75,raw_grid_76,raw_grid_77,raw_grid_78,raw_grid_79,raw_grid_80,raw_grid_81,raw_grid_82,raw_grid_83,raw_grid_84,raw_grid_85,raw_grid_86,raw_grid_87,raw_grid_88,raw_grid_89,raw_grid_90,raw_grid_91,raw_grid_92,raw_grid_93,raw_grid_94,raw_grid_95,raw_grid_96,raw_grid_97,raw_grid_98,raw_grid_99,raw_grid_100,raw_grid_101,raw_grid_102,raw_grid_103,raw_grid_104,raw_grid_105,raw_grid_106,raw_grid_107,raw_grid_108,raw_grid_109,raw_grid_110,raw_grid_111,raw_grid_112,raw_grid_113,raw_grid_114,raw_grid_115,raw_grid_116,raw_grid_117,raw_grid_118,raw_grid_119,raw_grid_120,raw_grid_121,raw_grid_122,raw_grid_123,raw_grid_124,raw_grid_125,raw_grid_126,raw_grid_127,raw_grid_128,raw_grid_129,raw_grid_130,raw_grid_131,raw_grid_132,raw_grid_133,raw_grid_134,raw_grid_135,raw_grid_136,raw_grid_137,raw_grid_138,raw_grid_139,raw_grid_140,raw_grid_141,raw_grid_142,raw_grid_143,raw_grid_144,raw_grid_145,raw_grid_146,raw_grid_147,raw_grid_148,raw_grid_149,raw_grid_150,raw_grid_151,raw_grid_152,raw_grid_153,raw_grid_154,raw_grid_155,raw_grid_156,raw_grid_157,raw_grid_158,raw_grid_159,raw_grid_160,raw_grid_161,raw_grid_162,raw_grid_163,raw_grid_164,raw_grid_165,raw_grid_166,raw_grid_167,raw_grid_168,raw_grid_169,raw_grid_170,raw_grid_171,raw_grid_172,raw_grid_173,raw_grid_174,raw_grid_175,raw_grid_176,raw_grid_177,raw_grid_178,raw_grid_179,raw_grid_180,raw_grid_181,raw_grid_182,raw_grid_183,raw_grid_184,raw_grid_185,raw_grid_186,raw_grid_187,raw_grid_188,raw_grid_189,raw_grid_190,raw_grid_191
1liga,36,2499725,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,117,3.0,92.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641026,0.008547009,0.008547009,0.0,0.008547009,0.008547009,0.0,0.0,0.0,0.0,0.0,0.0,0.008547009,0.0,0.0,0.017094018,0.034188036,0.042735044,0.025641026,0.008547009,0.017094018,0.017094018,0.008547009,0.0,0.0,0.0,0.0,0.0,0.008547009,0.0,0.017094018,0.008547009,0.051282052,0.08547009,0.042735044,0.017094018,0.034188036,0.051282052,0.034188036,0.008547009,0.0,0.0,0.0,0.0,0.008547009,0.008547009,0.0,0.0,0.051282052,0.008547009,0.017094018,0.008547009,0.017094018,0.0,0.008547009,0.008547009,0.0,0.0,0.0,0.0,0.008547009,0.0,0.017094018,0.0,0.017094018,0.0,0.008547009,0.051282052,0.051282052,0.0,0.008547009,0.0,0.0,0.0,0.008547009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094018,0.008547009,0.0,0.0,0.0,0.0,0.0,0.008547009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547009,0.0,0.0,0.008547009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1liga,36,2499737,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,90,1.0,89.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111,0.011111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111,0.0,0.0,0.0,0.011111111,0.011111111,0.022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111,0.011111111,0.0,0.0,0.022222223,0.022222223,0.022222223,0.0,0.022222223,0.033333335,0.0,0.0,0.0,0.0,0.0,0.0,0.022222223,0.0,0.0,0.011111111,0.022222223,0.022222223,0.011111111,0.011111111,0.022222223,0.011111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333335,0.044444446,0.0,0.011111111,0.033333335,0.011111111,0.0,0.0,0.011111111,0.0,0.0,0.0,0.0,0.011111111,0.0,0.011111111,0.033333335,0.06666667,0.011111111,0.011111111,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111,0.0,0.0,0.011111111,0.0,0.022222223,0.055555556,0.08888889,0.011111111,0.033333335,0.022222223,0.011111111,0.0,0.0,0.0,0.0,0.011111111,0.0,0.011111111,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111,0.0,0.0,0.0,0.011111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111,0.0,0.0,0.011111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1liga,36,2499746,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,103,0.0,94.0,,0.0,0.0,0.0,0.0,0.009708738,0.009708738,0.0,0.0,0.009708738,0.009708738,0.0,0.0,0.0,0.009708738,0.0,0.0,0.009708738,0.0,0.009708738,0.019417476,0.019417476,0.0,0.0,0.0,0.0,0.0,0.009708738,0.0,0.0,0.0,0.0,0.0,0.0,0.029126214,0.0,0.0,0.019417476,0.048543688,0.009708738,0.0,0.009708738,0.009708738,0.009708738,0.0,0.009708738,0.0,0.0,0.0,0.009708738,0.009708738,0.0,0.0,0.03883495,0.08737864,0.067961164,0.029126214,0.009708738,0.009708738,0.019417476,0.0,0.009708738,0.0,0.0,0.0,0.009708738,0.0,0.0,0.009708738,0.03883495,0.048543688,0.009708738,0.009708738,0.019417476,0.03883495,0.009708738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03883495,0.019417476,0.0,0.019417476,0.019417476,0.0,0.0,0.0,0.0,0.0,0.009708738,0.0,0.0,0.0,0.0,0.0,0.0,0.019417476,0.009708738,0.0,0.0,0.0,0.0,0.009708738,0.009708738,0.0,0.009708738,0.0,0.0,0.0,0.0,0.009708738,0.009708738,0.0,0.0,0.0,0.0,0.0,0.0,0.009708738,0.009708738,0.0,0.0,0.0,0.009708738,0.0,0.0,0.0,0.009708738,0.0,0.009708738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708738,0.0,0.0,0.0,0.009708738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1liga,36,2499752,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,71,0.0,89.0,,0.0,0.0,0.0,0.0,0.014084507,0.0,0.04225352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507,0.0,0.0,0.014084507,0.0,0.07042254,0.0,0.0,0.014084507,0.028169014,0.014084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014,0.04225352,0.056338027,0.028169014,0.0,0.0,0.0,0.0,0.04225352,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507,0.014084507,0.014084507,0.09859155,0.07042254,0.056338027,0.04225352,0.0,0.014084507,0.014084507,0.014084507,0.0,0.014084507,0.0,0.0,0.0,0.014084507,0.0,0.028169014,0.028169014,0.028169014,0.014084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014,0.028169014,0.0,0.014084507,0.0,0.0,0.014084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507,0.014084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1liga,36,2499766,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,111,1.0,92.0,,0.0,0.0,0.027027028,0.0,0.009009009,0.036036037,0.018018018,0.0,0.009009009,0.0,0.036036037,0.0,0.018018018,0.009009009,0.0,0.0,0.0,0.0,0.009009009,0.0,0.018018018,0.009009009,0.009009009,0.009009009,0.027027028,0.009009009,0.027027028,0.018018018,0.027027028,0.009009009,0.0,0.0,0.0,0.0,0.0,0.009009009,0.009009009,0.018018018,0.0,0.0,0.018018018,0.027027028,0.054054055,0.036036037,0.009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009,0.018018018,0.0,0.0,0.036036037,0.036036037,0.054054055,0.036036037,0.018018018,0.009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009,0.009009009,0.009009009,0.018018018,0.027027028,0.027027028,0.018018018,0.009009009,0.0,0.018018018,0.009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018,0.009009009,0.0,0.009009009,0.009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009,0.0,0.009009009,0.0,0.0,0.018018018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009,0.0,0.0,0.0,0.0,0.0,0.009009009,0.0,0.0,0.0,0.0,0.009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1liga,36,2499778,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,62,0.0,94.0,,0.0,0.032258064,0.016129032,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032,0.032258064,0.016129032,0.016129032,0.016129032,0.0,0.016129032,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032,0.016129032,0.0,0.048387095,0.048387095,0.0,0.0,0.0,0.016129032,0.016129032,0.0,0.0,0.0,0.0,0.0,0.06451613,0.016129032,0.032258064,0.11290322,0.08064516,0.048387095,0.0,0.0,0.016129032,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.032258064,0.06451613,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1liga,36,2499783,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,105,0.0,92.0,,0.0,0.00952381,0.0,0.028571429,0.00952381,0.01904762,0.03809524,0.00952381,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01904762,0.03809524,0.04761905,0.03809524,0.01904762,0.028571429,0.028571429,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.01904762,0.0,0.01904762,0.028571429,0.06666667,0.01904762,0.00952381,0.0,0.0,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952381,0.028571429,0.057142857,0.03809524,0.028571429,0.03809524,0.01904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952381,0.028571429,0.03809524,0.01904762,0.00952381,0.0,0.01904762,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952381,0.0,0.0,0.01904762,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952381,0.0,0.0,0.0,0.00952381,0.00952381,0.0,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952381,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1liga,36,2499797,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,101,0.0,86.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990099,0.00990099,0.0,0.00990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01980198,0.0,0.0,0.00990099,0.0,0.00990099,0.0,0.0,0.0,0.0,0.01980198,0.0,0.0,0.0,0.0,0.0,0.00990099,0.02970297,0.01980198,0.00990099,0.01980198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990099,0.06930693,0.06930693,0.02970297,0.01980198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990099,0.01980198,0.02970297,0.02970297,0.04950495,0.05940594,0.00990099,0.00990099,0.0,0.0,0.0,0.0,0.0,0.0,0.00990099,0.0,0.0,0.0,0.02970297,0.00990099,0.01980198,0.05940594,0.01980198,0.00990099,0.0,0.0,0.0,0.0,0.0,0.0,0.01980198,0.0,0.00990099,0.0,0.01980198,0.03960396,0.0,0.04950495,0.02970297,0.01980198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00990099,0.0,0.01980198,0.01980198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1liga,36,2499807,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,47,7.0,91.0,,0.0,0.0,0.021276595,0.0,0.0,0.0,0.021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021276595,0.0,0.04255319,0.021276595,0.021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021276595,0.0,0.021276595,0.021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021276595,0.021276595,0.08510638,0.06382979,0.17021276,0.021276595,0.021276595,0.021276595,0.021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04255319,0.021276595,0.021276595,0.021276595,0.08510638,0.021276595,0.021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021276595,0.021276595,0.0,0.021276595,0.0,0.0,0.0,0.0,0.021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1liga,36,2499816,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,62,0.0,91.0,,0.0,0.016129032,0.0,0.032258064,0.0,0.08064516,0.032258064,0.048387095,0.0,0.0,0.016129032,0.0,0.016129032,0.016129032,0.0,0.0,0.0,0.016129032,0.016129032,0.032258064,0.06451613,0.016129032,0.016129032,0.048387095,0.016129032,0.0,0.032258064,0.016129032,0.016129032,0.016129032,0.0,0.0,0.0,0.016129032,0.0,0.016129032,0.032258064,0.0,0.032258064,0.016129032,0.032258064,0.016129032,0.0,0.0,0.032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064,0.048387095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032,0.016129032,0.0,0.016129032,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032,0.0,0.0,0.016129032,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
