dataset_name,player_id,match_id,team_id,player_name,player_name_raw,role_name,specific_position,position_status,team_name,n_touches,minute_min,minute_max,match_date,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1liga,36,2499725,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,117,3.0,92.0,,0.15017872,0.03573332,-0.07762768,0.040587027,-0.26990598,-0.037795503,-0.045033168,-0.18863313,-0.09015924,0.031665154,-0.16615048,-0.0576282,-0.04410225,-0.12799053,0.08840116,-0.0490426,-0.023278302,-0.019014793,0.0015354519,-0.07932644,-0.08934489,0.15901971,-0.12700035,-0.009680261,0.053643927,0.12897225,0.03449295,0.11380559,-0.030765243,0.061864402,-0.15880266,0.17019233,-0.17950055,-0.07184214,0.13747405,-0.26288527,0.13751414,0.08773748,0.033767942,0.096468635,-0.08841114,-0.066618405,0.1900043,0.14383623,-0.2635416,-0.052577216,-0.38590023,-0.00399022,-0.07494933,0.055409282,-0.008067983,-0.09753969,-0.19631451,0.121649355,0.10789568,-0.11931936,-0.18345122,-0.06725592,0.007031203,-0.09193239,-0.18138504,0.033325963,0.042542882,0.07794977
1liga,36,2499737,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,90,1.0,89.0,,0.124423355,0.009947453,0.03964859,0.017267779,-0.21767719,-0.071556985,0.08382034,-0.22283004,0.08207128,-0.07237866,-0.036104422,-0.03355402,-0.058408722,-0.1804318,0.20797843,-0.05388368,-0.14753877,-0.19498038,-0.012735001,-0.026200289,-0.0648872,0.06129411,-0.12623666,0.048808157,0.16048436,0.076749966,0.12826647,0.26586786,-0.051510278,0.029615762,-0.093510635,0.123584054,0.047248706,-0.07862866,-0.07561201,-0.0996402,0.11365806,0.125301,-0.0910862,0.069121666,-0.19277547,-0.12095076,0.16535847,-0.060636334,-0.013808139,-0.072384186,-0.38594428,-0.04743022,0.047018804,0.062263846,0.05664939,-0.096619904,0.033055738,0.090274364,0.13828607,-0.12768951,-0.29592156,-0.16339533,-0.115449995,-0.012916892,-0.17612451,0.024417045,0.030440696,0.12157988
1liga,36,2499746,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,103,0.0,94.0,,0.19802238,0.03612398,-0.09037669,0.041816883,-0.27550864,-0.10028712,-0.012516718,-0.1574616,-0.06946145,0.033855245,-0.14689054,-0.07472183,-0.06220966,-0.12132005,0.1433884,-0.031028016,-0.05270865,-0.05398329,-0.015689163,-0.050794944,-0.074214645,0.16329578,-0.13915062,-0.032124065,0.08878792,0.11654375,0.044745397,0.16091524,-0.037366908,0.030650645,-0.15239087,0.14732005,-0.16906117,-0.09483268,0.106508344,-0.21352886,0.123210356,0.13838516,-0.006458827,0.11164429,-0.1363622,-0.042903345,0.18549365,0.088972345,-0.203154,-0.08671822,-0.38811168,0.009032954,-0.0661661,0.07994293,0.03116165,-0.094003394,-0.15566602,0.13095777,0.13598113,-0.11922278,-0.18306954,-0.09648545,-0.020271225,-0.104162544,-0.18892536,0.059321016,0.1032287,0.073953345
1liga,36,2499752,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,71,0.0,89.0,,0.35733724,0.09445639,-0.010812512,0.24661589,-0.03378327,0.03990216,0.022876,-0.048817873,0.06474411,0.07097689,-0.1581642,-0.02316172,-0.0064878236,-0.1250439,0.21465681,-0.06513051,0.069882855,-0.057882387,-0.10958676,-0.084656455,0.060049053,0.020560995,-0.034596078,-0.09313261,-0.088943765,0.118765585,-0.11113852,0.18401638,0.050203167,0.14848119,-0.13410926,0.12215189,-0.28550166,-0.17488267,0.15856665,-0.1713039,0.15832292,0.19550751,0.017649196,0.052165255,-0.061561342,-0.008877528,0.11955478,0.023462588,-0.04755017,0.09104801,-0.25539833,0.07220539,-0.08730576,0.0047038705,-0.21354985,0.09786144,-0.14568578,0.08037873,0.07969991,-0.046111595,-0.07951923,-0.05834599,0.109307975,-0.13334265,-0.13326262,0.17029689,-0.078842044,0.07063011
1liga,36,2499766,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,111,1.0,92.0,,0.026510347,-0.01652239,0.09247677,0.1977696,-0.13444582,0.1710407,-0.0128583545,-0.19144522,-0.06565345,-0.002391306,-0.2636412,0.058900084,0.150536,-0.044804048,0.058943294,-0.022010118,0.16578536,0.00073716056,-0.09120021,-0.18633832,-0.025189102,0.12703249,-0.060962945,-0.11251137,-0.06308668,0.13144723,-0.13489556,-0.0319873,0.11009632,-0.019415792,-0.044204812,0.15136792,-0.18881536,0.059703495,0.21655664,-0.29696357,0.22295578,0.0119786225,0.07952452,0.037558377,0.08717415,-0.08301776,0.14265428,0.12142317,-0.14943406,0.035901763,-0.2793435,0.13181958,-0.18372336,-0.06833169,-0.090450466,0.009623593,-0.19289863,-0.042054977,-0.04319234,-0.033876047,-0.1727928,-0.021713866,0.18416771,0.049666196,-0.0588826,0.07188457,-0.11737906,0.038241196
1liga,36,2499778,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,62,0.0,94.0,,0.37326723,0.124204755,-0.045080718,0.22612074,-0.09154722,-0.03384008,0.03722551,-0.05426363,0.04925311,0.09812721,-0.10343946,-0.06877828,-0.03465591,-0.13049717,0.21314523,-0.04111197,0.054020654,-0.06541535,-0.09177574,-0.06594193,0.03256722,0.055280928,-0.07328383,-0.10184521,-0.044912826,0.13045472,-0.096444085,0.24641351,-0.03672742,0.117781855,-0.15185373,0.13687055,-0.23365556,-0.2036064,0.14072695,-0.18943503,0.12260735,0.18901056,0.009715579,0.09342172,-0.09826733,-0.008150839,0.15181665,0.0055045015,-0.0665739,0.04827598,-0.27567717,0.058500916,-0.055565376,0.06569633,-0.15909684,0.036142018,-0.15621535,0.10393671,0.11714737,-0.087545745,-0.10653043,-0.10020881,0.06693809,-0.09127466,-0.14515439,0.13633013,0.020658262,0.065462165
1liga,36,2499783,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,105,0.0,92.0,,0.23540074,0.059768736,0.0031616609,0.26701134,-0.041239347,0.11447312,0.0124115795,-0.067353725,-0.005330551,0.033309214,-0.14953491,-0.015864566,0.06348348,-0.010673131,0.18255337,-0.08324821,0.12583007,-0.030794522,-0.16483125,-0.19497287,0.07367789,0.053596213,-0.05046847,-0.12734428,-0.11333181,0.1376082,-0.19168569,0.11244678,0.12611333,0.014797562,-0.08015126,0.12895799,-0.3021843,-0.059077255,0.19333641,-0.20798993,0.13763507,0.18409334,0.07442078,0.043071486,0.01885801,-0.02660333,0.13455106,0.055035125,-0.0031127494,0.12700343,-0.22284679,0.13585205,-0.17041291,-0.09102206,-0.15480216,0.13970548,-0.16491458,0.03019836,0.032052547,0.046159428,-0.06941884,0.012959681,0.19307108,-0.08905081,-0.059776273,0.17872675,-0.09475636,0.061655425
1liga,36,2499797,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,101,0.0,86.0,,0.2076868,-0.04399465,-0.026958315,0.015215543,-0.09946641,-0.17624293,0.16766228,-0.043329228,-0.17339318,0.16317384,-0.057131037,-0.11073802,-0.06213831,0.27017847,-0.06590777,-0.14074093,-0.07615957,0.0995682,0.1289898,-0.18146159,-0.1791541,-0.21494886,-0.25026494,-0.09019884,-0.08790174,-0.034864377,0.025293982,-0.13933648,0.02372668,-0.16706622,-0.0859687,-0.002447215,-0.06760077,0.19092795,-0.10384238,0.12567753,-0.12725918,0.1830281,-0.025171995,-0.084937535,0.0811128,-0.13812229,-0.07739618,-0.06518674,0.038872577,0.05795673,0.03562799,-0.0012241466,-0.2200587,-0.08633091,0.07639895,-0.0047907364,0.12556897,0.04971137,0.20857799,-0.009862516,-0.08884816,-0.09826904,0.09785114,-0.062658906,0.26121196,-0.06832648,-0.035532154,0.18604098
1liga,36,2499807,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,47,7.0,91.0,,0.25689664,0.13267826,-0.04615854,0.11016065,-0.18431622,-0.051580526,-0.012440792,-0.14218411,-0.0114267105,0.12434393,-0.060769204,-0.09610419,-0.038794223,-0.1411557,0.1389105,-0.08722145,0.006543793,-0.04242584,-0.08594055,-0.10721854,-0.047223613,0.10127388,-0.12117105,0.0024639603,-0.0054172794,0.20336802,-0.022913577,0.24606577,-0.08332034,0.1073641,-0.16167752,0.15964289,-0.16865963,-0.192471,0.12810637,-0.24226242,0.08163417,0.12536947,0.047818054,0.07931164,-0.15810132,-0.08083712,0.2004405,0.03966009,-0.17538923,0.058550127,-0.28986484,-0.029841784,-0.06964016,0.078652255,-0.0986187,-0.026294097,-0.17784382,0.15674396,0.15428461,-0.11936889,-0.123004384,-0.08187631,0.06175332,-0.09715115,-0.16229324,0.030222533,0.006591769,0.07617487
1liga,36,2499816,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,62,0.0,91.0,,0.16536416,0.007788203,0.115508564,0.2503951,0.09033854,0.18117419,0.061610047,-0.06373148,0.048355047,-0.01917061,-0.12919584,0.15438779,0.1086301,0.0012950582,0.14440091,-0.08918465,0.1676808,0.0048422534,-0.060501162,-0.13027036,0.07816678,-0.09402987,0.044046428,-0.062816575,-0.09093477,0.09878636,-0.12249297,0.021586135,0.23038489,0.07769966,-0.015685948,0.0863041,-0.30424637,0.007547585,0.17317083,-0.091253765,0.18718883,0.059474524,0.0329881,-0.060683813,0.087481424,0.05202758,0.024983108,0.077141695,-0.023847219,0.18201396,-0.1236354,0.19028094,-0.15301836,-0.21114016,-0.21611978,0.21895969,-0.033041347,0.036754854,-0.07771296,0.010833575,0.031824183,0.08650377,0.21419665,-0.05266959,-0.004456011,0.16521367,-0.2182118,0.11923513
1liga,36,2500061,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,94,0.0,88.0,,0.22521691,0.08180046,-0.09004124,0.077241376,-0.24451599,-0.060142547,-0.012847999,-0.14987653,-0.07505147,0.07625249,-0.09902925,-0.095963575,-0.050052945,-0.099882856,0.12171555,-0.055470828,-0.0027773844,-0.025269188,-0.046592675,-0.10462402,-0.06926372,0.13373013,-0.15107869,-0.0416832,0.029832145,0.1737566,0.0026772032,0.19719203,-0.07260845,0.04704382,-0.16484049,0.17630523,-0.17674689,-0.120895065,0.12135871,-0.26013148,0.10092135,0.11252832,0.04413501,0.105518125,-0.120566145,-0.070330955,0.20020987,0.09159774,-0.21875042,-0.0061164685,-0.35241902,0.00789119,-0.07809637,0.054743756,-0.02249779,-0.07727568,-0.18456998,0.13410287,0.13799785,-0.12223476,-0.16132858,-0.07093521,0.03737771,-0.07344285,-0.1625731,0.040709704,0.06614392,0.093343586
1liga,36,2500088,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,85,1.0,86.0,,0.13585155,0.077889174,-0.00079232274,0.060095333,-0.01558119,-0.0018898366,-0.10322937,-0.057639215,-0.032929663,0.22133392,-0.23365352,0.065853775,0.06635725,-0.12157314,0.05506233,-0.07559109,0.14423706,0.073835015,-0.15914585,-0.14081286,-0.027987424,0.105342,0.03460336,-0.0070559257,-0.13088009,0.2436733,-0.017672634,0.063798964,0.07478515,0.14622313,-0.015638541,0.044091966,-0.2847185,-0.19461064,0.27102822,-0.16594908,0.096824884,0.018558806,0.09819357,-0.062490974,-0.11656668,-0.050430562,0.069878645,0.08521658,-0.23682725,0.069932684,-0.10169705,0.071424544,-0.22553548,-0.037520476,-0.21695149,0.12916812,-0.108338565,0.1707211,0.037001237,-0.042500492,0.14408325,0.012471677,0.16334903,-0.20123945,-0.09175729,0.055747427,-0.1360372,0.002451085
1liga,36,2500097,1624,T. Alderweireld,T. Alderweireld,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,84,0.0,91.0,,0.31572562,0.062238272,-0.012144773,0.26155964,-0.035020407,0.0776485,0.04966368,-0.038073197,0.03803795,0.031225529,-0.15357171,-0.00040707964,0.02204118,-0.027429795,0.2242338,-0.060821556,0.14132315,-0.031021886,-0.16537514,-0.14711815,0.06607728,0.02680448,-0.050879367,-0.16316997,-0.09781095,0.13770755,-0.11821192,0.1613413,0.09697279,0.035945337,-0.092098154,0.132423,-0.29844692,-0.09338604,0.1411529,-0.17785598,0.15561455,0.18393473,0.04457193,0.039000943,-0.029355206,-0.021001896,0.10860184,0.0149710765,0.0057138065,0.0851188,-0.27399042,0.16943488,-0.1510551,-0.097050056,-0.15338123,0.13299577,-0.10084177,0.045919646,0.040304974,-0.013810943,-0.065961875,-0.0001633989,0.14266811,-0.093544856,-0.092474885,0.21304037,-0.06402918,0.1081385
1liga,48,2499725,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,96,1.0,92.0,,0.1765894,-0.10942457,0.1280572,0.030819884,0.013080491,-0.08752437,0.09882436,-0.059767038,-0.0341043,0.17688133,-0.13096638,-0.12378918,0.13790198,0.19260079,-0.07809348,-0.002358188,-0.1326981,-0.06053485,0.11160157,-0.08947396,-0.10376766,-0.29314187,-0.17386985,-0.0008359026,-0.14603263,0.0037260307,-0.08097555,-0.10126422,-0.0051764697,-0.06386347,-0.09828279,-0.15197246,0.069173716,0.05235726,0.017053764,0.13776796,-0.08603504,0.11024944,-0.05742303,-0.03979592,0.1774153,-0.17727712,-0.10729294,-0.0619285,-0.030473763,0.16789903,0.059692595,-0.1361832,-0.12613542,-0.059264515,-0.00759876,-0.12988487,0.0939746,-0.02958409,0.25035116,-0.13683736,-0.124522075,-0.28648126,0.14359245,0.044701748,0.23092733,-0.17820147,-0.11389832,0.14520577
1liga,48,2499737,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,99,1.0,93.0,,0.15854028,-0.16648594,0.020551287,-0.076105505,-0.017390564,-0.095382676,0.037247084,-0.0048246086,-0.10244387,0.12763764,-0.3196279,-0.11472681,0.06417571,0.20174377,-0.14217734,-0.025945133,-0.03942455,0.06540771,0.03910032,-0.1213578,-0.12693632,-0.28783667,-0.07868147,-0.111784294,-0.16298611,-0.06277531,0.016004253,-0.22403553,0.0061413003,-0.060502354,-0.109423764,-0.0710838,-0.041257124,0.120385036,0.041265145,0.10059786,-0.08442932,0.07176985,0.0036789624,-0.14611465,0.26155904,-0.22885115,-0.16559984,0.065286,-0.06865909,0.0776682,-0.025554294,-0.06923228,-0.13639309,-0.1200441,0.01931323,-0.016099675,0.10946399,-0.020150248,0.12847249,-0.035417628,-0.073798664,-0.24552323,0.04766884,-0.046225525,0.24780472,-0.091957144,-0.13443562,0.16940488
1liga,48,2499746,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,127,0.0,94.0,,0.24024808,-0.076492906,0.103227474,0.11071172,0.015717546,-0.058169566,0.08175919,-0.06278915,-0.01285239,0.10407876,-0.14931694,-0.075944446,0.010829911,0.18807083,-0.10693213,0.006153073,0.0036847033,0.0549665,0.24736121,0.11018584,-0.1243517,-0.41022617,-0.1014633,0.031711183,-0.054568402,-0.14425826,-0.0032429008,-0.20545693,0.016694922,0.032928307,-0.17244045,-0.07642054,-0.04241851,0.055064227,0.026310975,0.062986284,0.01335132,0.116385296,-0.12292233,-0.08919768,0.27567348,-0.12079804,-0.14492585,0.0063509857,-0.18958823,0.1275859,0.033676177,-0.099513255,-0.03249355,-0.019444587,0.023076499,-0.061388474,0.054886565,0.050053257,0.14519525,-0.17138594,-0.04751547,-0.26708332,0.09407604,0.08912181,0.15247676,-0.11658111,-0.10077352,0.13644166
1liga,48,2499752,1624,J. Vertonghen,J. Vertonghen,Defender,CB,DEF_NEEDS_DETAIL,Tottenham Hotspur,76,0.0,90.0,,0.18587407,-0.12859821,-0.07449804,-0.004513985,-0.007932769,-0.08096752,-0.07770009,0.092095025,-0.10356375,0.18737462,-0.21733117,-0.1801877,-0.020896282,0.31842756,-0.111309744,0.022339514,0.116367854,0.10647129,0.084210634,-0.04259609,-0.111885116,-0.22770268,-0.060792338,-0.18650274,-0.20610942,-0.06653289,-0.005740529,-0.23178305,-0.03995317,-0.07773588,-0.16794476,-0.12524387,-0.052148543,0.06959352,0.007215426,-0.009186609,-0.16115633,0.12995523,0.06632098,0.01089028,0.31733698,-0.16611993,-0.14209636,0.0495998,-0.173565,0.022504563,-0.0020153795,0.051187586,-0.022729667,-0.045211423,0.034197044,-0.08523861,0.04498208,0.012292329,0.13791873,-0.12012533,0.090079814,-0.14443485,0.056185782,0.07352038,0.2231137,-0.124805085,0.022174822,0.06193281
